文字,網址
Swift 美型,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300101117
Swift Go新系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100538
RTX 40系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300101113
Predator Neo,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300800040&sourcePageType=4
Nitro 電競,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300800204&p_orderType=6&showType=chessboardType
入門電競,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300800581&sourcePageType=4
Aspire效能,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100407
ConceptD創作者,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100536
Vero環保系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100542
企業商用,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300200081&p_orderType=1
▼獨家超值組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300101100
▼升級特仕版,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100380
14吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100006
15吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100007
16吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100138
17吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100437
▼1TB外接組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100781
▼記憶體升級,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100823
▼美型滑鼠組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100053
全系列電競,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300800043&p_orderType=6&showType=chessboardType
▼超值繪圖組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100539
ConceptD創作者,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100331
▼Office組合,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300101063
軍規效能,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300200238&p_orderType=6&showType=chessboardType
Lenovo 聯想,https://www.momoshop.com.tw/category/MgrpCategory.jsp?m_code=4300100160
▲熱銷必買,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100490
★最新13代,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100658
萬元文書▼,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100498
★外接硬碟組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100632
★微軟M365組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100633
★超猛升級組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100630
★Xbox超值組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100629
★Office2021組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100625
★送藍芽喇叭,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100634
★小資美型組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100631
週邊配件,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100497
Slim 輕薄,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100324
Flex觸控翻轉,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100535
YOGA 時尚,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100325
Gaming電競,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100327
Legion 電競,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100326
Intel處理器,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100507
AMD處理器,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100508
特仕升級筆電,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100488
14吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100190
15吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100191
16吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100330
ThinkPad 商務,https://www.momoshop.com.tw/category/MgrpCategory.jsp?m_code=4300100179
★熱銷必買,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100510
◆送1TB硬碟,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100638
◆Office2021組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100635
◆規格升級組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100637
◆M365超值組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100639
◆送藍芽喇叭,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100640
特仕專區,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100232
獨顯機種,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100427
AMD處理器,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100244
Intel處理器,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100526
☆優質福利機,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300200065
周邊配件,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100235
ThinkBook,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100520
X1系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100523
X系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100522
L系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100524
P系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100574
E系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100521
T系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100525
13吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100192
14吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100196
15/16吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100197
NVIDIA 認證,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100424
HP 惠普,https://www.momoshop.com.tw/category/MgrpCategory.jsp?m_code=4300100013
★現貨熱銷,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=2142700069&p_orderType=4
★全新第11代,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100200
★萬元筆電,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=2142700074&p_orderType=4
★最新13代,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=2142700170&p_orderType=4&showType=chessboardType
★規格再升級,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300101119
★送1T硬碟,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100768&p_orderType=1
Office超值組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300101061
獨家好禮組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100846&p_orderType=1
Victus光影,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100347
HP超品系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100400&p_orderType=1
Pavilion星鑽,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100396&p_orderType=1
Pavilion光影電競,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300800185&p_orderType=1
OMEN潮競,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100145&p_orderType=1
ENVY極羨,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100397&p_orderType=1
Spectre皇爵,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300101114&p_orderType=1
翻轉觸控,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100709&p_orderType=1
商務系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100399&p_orderType=1
繪圖工作站,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100936&p_orderType=1
HP原廠配件,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100943&p_orderType=1
13吋以下,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100193&p_orderType=1
14吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100194&p_orderType=1
15吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100195&p_orderType=1
17吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300101025
VIP貴賓館,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100867&p_orderType=1
★福利品專區,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100584
微軟 Surface,https://www.momoshop.com.tw/category/MgrpCategory.jsp?m_code=4300100759
★Laptop 5,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100548
★Pro9,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100550
Laptop Go,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100176
Go3,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100135
Pro 8 / i5,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100464
Pro 8 / i7,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100466
Studio,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100465
Laptop 4 / i5,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100297
Laptop 4 / i7,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100298
AMD系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100030
Office組合,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100272
Studio 2+,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100578
全系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300101078
Surface配件,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100762
福利品專區,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100775
MSI 微星,https://www.momoshop.com.tw/category/MgrpCategory.jsp?m_code=4300100239
★熱銷下殺,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100851
★最新13代,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300800596
★最新RTX40系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300800597
全系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=2129600121
◆momo獨家,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100650
輕薄商務,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100257
輕薄創作者,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100258
效能電競,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100259
專業電競,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100260
QHD面板,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100660
◆熱銷12代,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100204
◆RTX30系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100231
◆超值升級組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100087
◆EVO專區,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100567
◆Office組合,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100119
◆特仕升級,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300101146
◆獨家精選組,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100261
Titan GT系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100616
Stealth系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100423
Raider GE系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100421
Vector GP系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100615
Pulse系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100618
Sword系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100617
Katana系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100422
Cyborg系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100614
Thin GF系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100642
Alpha系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100269
Summit系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100564
Modern系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100425
Prestige系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100363
W工作站系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100262
電競週邊,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=1906500235&p_orderType=1
筆電配件,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100603
14吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100263
15吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100242
17吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100243
★贈藍芽耳機/音箱,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100107
★贈遊戲搖桿,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100089
GP飆速電競,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100108
DELL 戴爾,https://www.momoshop.com.tw/category/MgrpCategory.jsp?m_code=4300100202
★夯品推薦,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100703
★EVO專區,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100840
★AMD系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100323
★電競系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100822
Ins 3000系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100186
行動工作站,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100961
Latitude商用,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100206
Precision商用,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100602
Vostro家商兩用,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100561
Ins 5000系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100934
XPS創作而生,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100562
Ins 14 Plus,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300200316
Ins 16 Plus,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100541
特仕專區,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100217
16吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300200386
15吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100208
14吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100207
13吋以下,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100101
GIGABYTE 技嘉,https://www.momoshop.com.tw/category/MgrpCategory.jsp?m_code=4300100446
全系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100265
G5電競,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100266
AERO創作者,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100820
AORUS電競,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100821
15吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100448
17吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100041
Ins 5000系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100933
★RTX30系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100230
Ins 15 Plus,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100180
Dynabook,https://www.momoshop.com.tw/category/MgrpCategory.jsp?m_code=4300100140
★熱銷主打,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100250
★12代新機,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100234
輕薄窄框,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300200410
文書效能,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100249
時尚翻轉,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100233
EVO機種,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300200334
超值組合,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300200335
全系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100141
13吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100142
14吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100143
15吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100144
VAIO 日系品牌,https://www.momoshop.com.tw/category/MgrpCategory.jsp?m_code=4300100969
★11代新機,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100313
全系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300200154
VAIO Z,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100256
SE14系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300101108
E15系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100271
SX14 系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100971
14吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=1907100223
15吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100216
超值組合,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100344
13吋以下,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100975
SX12 系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300101201
FE14/15系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100215
AVITA美國時尚品牌,https://www.momoshop.com.tw/category/MgrpCategory.jsp?m_code=4300100877
★熱銷必買,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100998
全系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100057
LIBER V系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100150
Essential系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100175
超值組合,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100120
14吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100901
2in1系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100348
13吋,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100403
周邊配件,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100388
全新11代,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100389
AMD系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100205
Intel系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100118
活動專區,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100387
LG gram,https://www.momoshop.com.tw/category/MgrpCategory.jsp?m_code=4300101178
★夯品推薦,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100254
特規升級,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100134
全系列,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100177
◆超值組合,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100218
◆EVO專區,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100568
14吋筆電,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=1907100166
14吋筆電,https://www.momoshop.com.tw/category/DgrpCategory.jsp?d_code=4300100654
