F Rank,F Numbers,F Percent,,F First names,M Rank,M Numbers,M Percent,,M First names
48,693,0.16%,Samantha,Samantha,48,281,0.06%,GUILLAUME,Guillaume
49,681,0.16%,Zoe,Zoe,49,281,0.06%,Simon,Simon
50,643,0.15%,Lily,Lily,50,279,0.06%,mohamed,Mohamed
51,643,0.15%,Morgane,Morgane,51,273,0.06%,Justin,Justin
52,639,0.15%,Juliette,Juliette,52,271,0.06%,Hugo,Hugo
53,639,0.15%,jade,Jade,53,269,0.06%,alexis,Alexis
54,628,0.14%,Alexandra,Alexandra,54,267,0.06%,Nick,Nick
55,627,0.14%,Louise,Louise,55,262,0.06%,Patrick,Patrick
56,620,0.14%,Inès,Inès,56,262,0.06%,Jason,Jason
57,617,0.14%,Nicole,Nicole,57,262,0.06%,valentin,Valentin
58,608,0.14%,Taylor,Taylor,58,257,0.06%,VICTOR,Victor
59,592,0.14%,Andrea,Andrea,59,255,0.06%,martin,Martin
60,585,0.13%,Rebecca,Rebecca,60,253,0.06%,Richard,Richard
61,576,0.13%,elodie,Elodie,61,251,0.06%,Max,Max
62,572,0.13%,Amanda,Amanda,62,249,0.06%,Joshua,Joshua
63,567,0.13%,Jennifer,Jennifer,63,243,0.06%,Tyler,Tyler
64,549,0.13%,lucy,Lucy,64,238,0.05%,Jake,Jake
65,543,0.12%,kate,Kate,65,237,0.05%,charles,Charles
66,518,0.12%,Stephanie,Stephanie,66,231,0.05%,peter,Peter
67,513,0.12%,Elizabeth,Elizabeth,67,230,0.05%,Ethan,Ethan
68,504,0.12%,Amandine,Amandine,68,228,0.05%,Robert,Robert
69,501,0.12%,ELISA,Elisa,69,228,0.05%,arthur,Arthur
70,500,0.12%,mary,Mary,70,228,0.05%,mathieu,Mathieu
71,499,0.11%,Margaux,Margaux,71,225,0.05%,Theo,Theo
72,497,0.11%,Amélie,Amélie,72,225,0.05%,Louis,Louis
73,494,0.11%,Noémie,Noémie,73,225,0.05%,Brandon,Brandon
74,487,0.11%,kayla,Kayla,74,219,0.05%,Leo,Leo
75,485,0.11%,Elise,Elise,75,214,0.05%,Christopher,Christopher
76,476,0.11%,Céline,Céline,76,211,0.05%,Austin,Austin
77,473,0.11%,alicia,Alicia,77,209,0.05%,Joé,Joé
78,472,0.11%,Amber,Amber,78,209,0.05%,Josh,Josh
79,466,0.11%,Jasmine,Jasmine,79,208,0.05%,ADRIEN,Adrien
80,461,0.11%,célia,Célia,80,207,0.05%,steven,Steven
81,458,0.11%,Clémence,Clémence,81,204,0.05%,isaac,Isaac
82,456,0.10%,alyssa,Alyssa,82,203,0.05%,George,George
83,450,0.10%,Nina,Nina,83,199,0.05%,Mark,Mark
84,447,0.10%,Maéva,Maéva,84,190,0.04%,Luke,Luke
85,437,0.10%,Kelly,Kelly,85,186,0.04%,Brian,Brian
86,437,0.10%,Madison,Madison,86,186,0.04%,Aaron,Aaron
87,432,0.10%,Jenny,Jenny,87,185,0.04%,Kyle,Kyle
88,432,0.10%,Michelle,Michelle,88,182,0.04%,Noah,Noah
89,428,0.10%,Fanny,Fanny,89,182,0.04%,Tony,Tony
90,420,0.10%,abby,Abby,90,181,0.04%,ibrahim,Ibrahim
91,420,0.10%,Vanessa,Vanessa,91,180,0.04%,ali,Ali
92,415,0.10%,Sophia,Sophia,92,178,0.04%,Matt,Matt
93,409,0.09%,Léna,Léna,93,175,0.04%,mike,Mike
94,402,0.09%,Cindy,Cindy,94,169,0.04%,Alexander,Alexander
95,399,0.09%,sabrina,Sabrina,95,164,0.04%,Park,Park
96,397,0.09%,Natalie,Natalie,96,162,0.04%,Carlos,Carlos
97,391,0.09%,Marina,Marina,97,162,0.04%,henry,Henry
98,381,0.09%,Tiffany,Tiffany,98,160,0.04%,axel,Axel
99,380,0.09%,Ellie,Ellie,99,158,0.04%,tristan,Tristan
100,375,0.09%,Sofia,Sofia,100,158,0.04%,Jose,Jose
